City_ID,City,Country,Date,Lat,Lng,Humidity,Max Temp,Cloudiness,Wind Speed
67,Kandry,RU,2022-04-20 20:17:05,54.5667,54.1167,88,279.86,100,2.18
68,Ponta Do Sol,PT,2022-04-20 20:17:06,32.6667,-17.1,67,290.77,20,3.14
69,Coquimbo,CL,2022-04-20 20:16:37,-29.9533,-71.3436,77,289.0,20,4.63
70,Namibe,AO,2022-04-20 20:17:07,-15.1961,12.1522,86,297.68,100,1.89
71,Fare,PF,2022-04-20 20:17:07,-16.7,-151.0167,70,300.27,7,2.69
72,Esperance,AU,2022-04-20 20:17:08,-33.8667,121.9,76,288.5,85,3.4
73,Geraldton,AU,2022-04-20 20:17:08,-28.7667,114.6,52,292.38,95,2.57
74,Hongjiang,CN,2022-04-20 20:17:09,27.11,109.9956,94,287.86,0,1.8
75,Amahai,ID,2022-04-20 20:15:28,-3.3333,128.9167,86,298.86,41,1.27
76,Jamestown,US,2022-04-20 20:17:09,42.097,-79.2353,33,285.11,0,2.06
77,Bredasdorp,ZA,2022-04-20 20:17:10,-34.5322,20.0403,58,291.64,100,1.4
78,New Norfolk,AU,2022-04-20 20:17:10,-42.7826,147.0587,68,281.87,8,0.45
79,Thompson,CA,2022-04-20 20:17:11,55.7435,-97.8558,51,274.24,75,5.14
80,Isiro,CD,2022-04-20 20:17:11,2.7739,27.616,99,291.92,100,0.52
81,Narsaq,GL,2022-04-20 20:17:12,60.9167,-46.05,47,277.27,55,1.38
82,Anupgarh,IN,2022-04-20 20:17:12,29.1911,73.2086,17,304.48,0,3.0
83,Castro,BR,2022-04-20 20:17:13,-24.7911,-50.0119,64,294.02,0,1.17
84,Qaanaaq,GL,2022-04-20 20:17:13,77.484,-69.3632,77,255.28,100,3.72
85,Chapleau,CA,2022-04-20 20:15:06,47.8405,-83.4034,23,280.2,75,6.69
86,Nikolskoye,RU,2022-04-20 20:17:14,59.7035,30.7861,95,282.09,19,3.87
87,Christchurch,NZ,2022-04-20 20:17:03,-43.5333,172.6333,64,296.11,72,6.17
88,Kaitangata,NZ,2022-04-20 20:17:14,-46.2817,169.8464,99,287.01,80,0.71
89,Provideniya,RU,2022-04-20 20:18:15,64.3833,-173.3,77,269.94,56,2.19
90,Tselinnoye,RU,2022-04-20 20:18:16,53.0833,85.6667,95,276.9,100,1.48
91,Kapaa,US,2022-04-20 20:18:16,22.0752,-159.319,77,299.14,0,7.72
92,Erenhot,CN,2022-04-20 20:18:17,43.6475,111.9767,36,278.98,79,11.24
93,Opuwo,NA,2022-04-20 20:18:17,-18.0607,13.84,34,293.56,98,3.44
94,Williams Lake,CA,2022-04-20 20:18:18,52.1415,-122.1445,45,283.18,75,3.6
95,Doha,QA,2022-04-20 20:18:18,25.2867,51.5333,53,298.14,0,1.54
96,Cape Town,ZA,2022-04-20 20:18:19,-33.9258,18.4232,73,292.74,40,2.06
97,San Policarpo,PH,2022-04-20 20:18:19,12.1791,125.5072,82,299.85,62,2.82
98,Alagoa Grande,BR,2022-04-20 20:18:20,-7.1583,-35.63,71,298.33,98,5.05
99,Ostrovnoy,RU,2022-04-20 20:18:20,68.0531,39.5131,92,273.52,100,3.3
100,Bud,US,2022-04-20 20:18:21,39.447,-86.1758,38,291.9,97,6.98
101,Klyuchi,RU,2022-04-20 20:18:21,52.2667,79.1667,61,281.58,100,3.14
102,Hami,CN,2022-04-20 20:18:22,42.8,93.45,11,288.97,91,7.71
103,Zelenogorskiy,RU,2022-04-20 20:18:22,55.0333,87.0,96,273.54,92,2.02
104,Yellowknife,CA,2022-04-20 20:14:35,62.456,-114.3525,33,272.35,66,3.58
105,Port Lincoln,AU,2022-04-20 20:16:03,-34.7333,135.8667,65,288.98,95,3.04
106,Lekoni,GA,2022-04-20 20:18:23,-1.5843,14.2591,88,295.7,100,0.58
107,Broken Hill,AU,2022-04-20 20:18:24,-31.95,141.4333,66,288.57,100,3.89
